,0
0,1028834.4375
1,957646.0625
2,817672.1875
3,570112.5
4,233189.46875
5,97157.078125
6,315238.5
7,107544.421875
8,1175.8319091796875
9,55291.953125
10,120933.734375
11,138385.203125
12,112761.2109375
13,67180.8125
14,35227.15625
15,40375.9453125
16,60766.73828125
17,52005.24609375
18,20587.40234375
19,3781.24462890625
20,11563.1787109375
21,26015.55859375
22,30846.763671875
23,24376.642578125
24,14697.509765625
25,11140.408203125
26,14954.501953125
27,18213.18359375
28,13889.203125
29,5954.58935546875
30,1759.3201904296875
31,3035.82421875
32,5928.89111328125
33,6728.77880859375
34,4815.82421875
35,3061.441162109375
36,3699.495849609375
37,5706.8193359375
38,6460.40673828125
39,4794.18359375
40,2486.64697265625
41,1763.865234375
42,2432.2470703125
43,2830.808837890625
44,2102.82177734375
45,990.37841796875
46,812.9500732421875
47,1596.87255859375
48,2277.4033203125
49,1995.0321044921875
50,1273.1160888671875
51,1087.2288818359375
52,1411.0196533203125
53,1527.1231689453125
54,1133.40087890625
55,628.8060913085938
56,478.8766784667969
57,689.6683349609375
58,809.6611328125
59,609.9802856445312
60,422.74212646484375
61,539.2239379882812
62,753.7261352539062
63,779.8272705078125
64,581.9935913085938
65,437.16876220703125
66,483.16119384765625
67,541.0609130859375
68,457.19281005859375
69,338.22454833984375
70,341.0489807128906
71,426.2861328125
72,450.8616027832031
73,387.1408386230469
74,349.61138916015625
75,378.8747863769531
76,414.0562744140625
77,384.4167785644531
78,318.0513610839844
79,309.87286376953125
80,335.3374938964844
81,332.2054748535156
82,303.9239196777344
83,298.9018249511719
84,321.6414489746094
85,332.6833190917969
86,317.11090087890625
87,305.4269714355469
88,310.3830871582031
89,313.65985107421875
90,301.0190124511719
91,287.75860595703125
92,289.91632080078125
93,297.83941650390625
94,295.04290771484375
95,287.0993347167969
96,291.2509765625
97,297.5743103027344
98,293.25421142578125
99,286.9480285644531
100,15376.0087890625
101,13185.900390625
102,9956.7880859375
103,6964.76806640625
104,5072.583984375
105,4693.64501953125
106,5583.43017578125
107,6994.0068359375
108,8158.4501953125
109,8605.4833984375
110,8176.85595703125
111,7185.94189453125
112,6064.6923828125
113,5232.552734375
114,4885.083984375
115,4991.498046875
116,5365.7626953125
117,5760.85400390625
118,6029.8369140625
119,5904.54150390625
120,5707.12744140625
121,5292.18994140625
122,4981.14599609375
123,4708.728515625
124,4725.75439453125
