,0
0,12551.2939453125
1,11309.2568359375
2,8525.24609375
3,3361.630859375
4,715.6240844726562
5,254.06153869628906
6,652.3414306640625
7,625.8059692382812
8,624.4348754882812
9,388.1556701660156
10,336.99432373046875
11,220.4575653076172
12,320.0069580078125
13,401.9637451171875
14,572.0335693359375
15,286.7720642089844
16,176.59774780273438
17,219.76370239257812
18,198.7025604248047
19,315.62591552734375
20,213.43222045898438
21,375.6864013671875
22,160.54879760742188
23,249.30947875976562
24,300.48345947265625
25,250.75088500976562
26,148.47787475585938
27,171.17869567871094
28,229.59783935546875
29,320.319091796875
30,219.1378631591797
31,197.88125610351562
32,309.42529296875
33,210.96560668945312
