,0
0,0.20672619342803955
1,-6.001839637756348
2,-20.030363082885742
3,-59.52622604370117
4,-116.52379608154297
5,-108.5651626586914
6,-111.54327392578125
7,-109.3910140991211
8,-109.25824737548828
9,-115.97770690917969
10,-111.37252044677734
11,-113.47603607177734
12,-115.96421813964844
13,-116.61015319824219
14,-108.70755004882812
15,-114.37248229980469
16,-117.71365356445312
17,-118.5302963256836
18,-126.48638916015625
19,-111.03572082519531
20,-121.7243881225586
21,-118.13538360595703
22,-116.51416015625
23,-123.2851791381836
24,-123.84742736816406
25,-116.29654693603516
26,-128.3216552734375
27,-120.21118927001953
28,-119.20036315917969
29,-131.96774291992188
30,-115.09233093261719
31,-128.1923828125
32,-127.16341400146484
33,-132.3755340576172
