,0
0,52.875573017499974
1,54.09697577566014
2,52.87557301749997
3,55.31837853382031
4,51.6541702593398
5,51.6541702593398
6,52.87557301749997
7,52.875573017499974
8,52.87557301749997
9,51.6541702593398
10,54.09697577566014
11,54.09697577566014
12,56.81525760411918
13,52.875573017499974
14,52.87557301749997
15,51.6541702593398
16,51.6541702593398
17,52.87557301749997
18,51.6541702593398
19,51.6541702593398
20,54.09697577566014
21,52.875573017499974
22,54.09697577566014
23,55.31837853382031
24,54.09697577566014
25,54.09697577566014
26,52.875573017499974
27,51.6541702593398
28,51.6541702593398
29,52.87557301749997
